Year,Month,Day,Hour,31297_Bike_Count
2019,8,18,11,185
2019,8,18,12,166
2019,8,18,13,182
2019,8,18,14,288
2019,8,18,15,394
2019,8,18,16,521
2019,8,18,17,567
2019,8,18,18,543
2019,8,18,19,505
2019,8,18,20,395
2019,8,18,21,301
2019,8,18,22,306
2019,8,18,23,117
2019,8,19,0,70
2019,8,19,1,29
2019,8,19,2,6
2019,8,19,3,13
2019,8,19,4,23
2019,8,19,5,129
2019,8,19,6,479
2019,8,19,7,1080
2019,8,19,8,1123
2019,8,19,9,788
2019,8,19,10,683
2019,8,19,11,812
2019,8,19,12,815
2019,8,19,13,914
2019,8,19,14,903
2019,8,19,15,1129
2019,8,19,16,1492
2019,8,19,17,1569
2019,8,19,18,1319
2019,8,19,19,877
2019,8,19,20,593
2019,8,19,21,387
2019,8,19,22,288
2019,8,19,23,144
2019,8,20,0,106
2019,8,20,1,39
2019,8,20,2,21
2019,8,20,3,17
2019,8,20,4,21
2019,8,20,5,120
2019,8,20,6,475
2019,8,20,7,1093
2019,8,20,8,1210
2019,8,20,9,865
2019,8,20,10,757
2019,8,20,11,828
2019,8,20,12,982
2019,8,20,13,972
2019,8,20,14,1040
2019,8,20,15,1181
2019,8,20,16,1556
2019,8,20,17,1666
2019,8,20,18,1248
2019,8,20,19,866
2019,8,20,20,557
2019,8,20,21,368
2019,8,20,22,347
2019,8,20,23,181
2019,8,21,0,74
2019,8,21,1,32
2019,8,21,2,25
2019,8,21,3,6
2019,8,21,4,23
2019,8,21,5,148
2019,8,21,6,491
2019,8,21,7,1142
2019,8,21,8,1208
2019,8,21,9,943
2019,8,21,10,799
2019,8,21,11,915
2019,8,21,12,1043
2019,8,21,13,1040
2019,8,21,14,1071
2019,8,21,15,1167
2019,8,21,16,1538
2019,8,21,17,1727
